V1,V2,V3
-126.212570145903,49.3833101529903,68.0128936767578
-126.195847362514,49.3833101529903,81.5428924560547
-126.179124579125,49.3833101529903,255.872894287109
-126.162401795735,49.3833101529903,457.48291015625
-126.145679012346,49.3833101529903,284.572906494141
-126.128956228956,49.3833101529903,279.089996337891
-126.112233445567,49.3833101529903,195.139999389648
-126.095510662177,49.3833101529903,-0.239999994635582
-126.078787878788,49.3833101529903,-95.75
-126.062065095398,49.3833101529903,29.1800003051758
-126.045342312009,49.3833101529903,135.929992675781
-126.02861952862,49.3833101529903,332.799987792969
-126.01189674523,49.3833101529903,252.100006103516
-125.995173961841,49.3833101529903,253.899993896484
-125.978451178451,49.3833101529903,364.470001220703
-125.961728395062,49.3833101529903,63.9700012207031
-125.945005611672,49.3833101529903,-114.059997558594
-125.928282828283,49.3833101529903,132.360000610352
-125.911560044893,49.3833101529903,624.109985351562
-125.894837261504,49.3833101529903,824.469970703125
-125.878114478114,49.3833101529903,629.869995117188
-125.861391694725,49.3833101529903,669.661743164062
-125.844668911336,49.3833101529903,946.3017578125
-125.827946127946,49.3833101529903,1029.25170898438
-125.811223344557,49.3833101529903,804.851745605469
-125.794500561167,49.3833101529903,520.981750488281
-125.777777777778,49.3833101529903,123.321762084961
-125.761054994388,49.3833101529903,202.411758422852
-125.744332210999,49.3833101529903,635.941772460938
-125.727609427609,49.3833101529903,536.340026855469
-125.71088664422,49.3833101529903,428.280029296875
-125.694163860831,49.3833101529903,472.810028076172
-125.677441077441,49.3833101529903,440.050048828125
-125.660718294052,49.3833101529903,364.630035400391
